name,partner,difficulty,time,assignment_type
Lab 1 HTML and JS,False,Easy,3,lab
Lab 2 JS and Barcharts,False,Easy,4,lab
Lab 3 D3,False,Intermediate,4,lab
Lab 4 Classes and Barcharts,False,Difficult,5,lab
Lab 5 Transitions and Updating,False, Difficult,5,lab
Lab 6 Transitions and Family Tree,False,Easy,3,lab
Lab 7 Linked Views,False,Intermediate,4,lab
Lab 8 Advanced Topics,False,Easy,2,lab
HW 1,True,Easy,4,homework
HW 2,True,Intermediate,4,homework
HW 3,True,Difficult,3,homework
Final Project,True,Difficult,12,final